,image,price,deal,title,shop,location
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2928873800/TB20Q1hFTtYBeNjy1XdXXXXyVXa_!!2928873800-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
36.00",1990,"花满楼鲜花饼新鲜现烤玫瑰饼云南
美食
特产早餐糕点 满3件发顺丰",happymiss旗舰店,云南 昆明
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/3083026886/TB22cT8m9MmBKNjSZTEXXasKpXa_!!3083026886-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
39.80",1072,"沈万三 周庄特产
美食
沈万三蹄猪蹄髈猪肘酱肘子1000克肉类熟食",沈万三旗舰店,江苏 苏州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2891702599/TB228BxniMnBKNjSZFoXXbOSFXa_!!2891702599-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
119.00",390,"老杭邦龙井酥5口味套装 杭州特产特色
美食
杭州茶食龙井茶酥实惠装",老杭邦旗舰店,浙江 杭州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1720086049/TB1sDvjlCYTBKNjSZKbXXXJ8pXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
16.80",139,"赵老师煎麻饼500g袋四川特产黑芝麻饼早餐
美食
零食品糕点心零食",醇厚食品专营店,四川 成都
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1k2f0PVXXXXbcXFXXXXXXXXXX_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
57.00",34,"南京特产夫子庙四大名点手工传统糕点小吃特产真空礼盒装送礼
美食",南京土特产87,江苏 南京
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/1939676692/TB14gQJDNSYBuNjSspjXXX73VXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
23.80",15,"老金磨方黑芝麻片手工无糖薄片低零食糕点孕妇
美食
营养低糖酥特产",xiguangpu,浙江 杭州
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/109608431/TB2h_3Ko4TI8KJjSspiXXbM4FXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
88.00",14,"*生*温州特产
美食
零食鸭肉手工自制小吃古法原味酱鸭舌头一份半斤",温州鱼面大王,浙江 温州
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/126179134/TB2qk4IHNSYBuNjSspjXXX73VXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
29.80",1331,凤凰卷厦门特产海苔肉松手工鸡蛋卷散装网红零食早餐饼干整箱食品,多比伦旗舰店,上海
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/115969506/TB2fuuxG41YBuNjy1zcXXbNcXXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
36.00",3,牛肉特产五香牛肉卤牛肉 酱牛肉清真食品西安腊牛肉陕西特产218g,伊园祥食品,陕西 西安
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/689862741/TB1W7FAjcrI8KJjy0FhXXbfnpXa_!!2-item_pic.png_360x360Q90.jpg_.webp,"¥
66.00",47,"北京特产零食大礼包1200g红螺食品
美食
糕点小吃蜜麻花果脯点心",红螺食品旗舰店,北京
