,deal,image,location,price,shop,title
0,82,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/660911315/TB2w884niCYBuNkHFCcXXcHtVXa_!!660911315.jpg_180x180.jpg_.webp,广东 汕头,23.30,wzx13642226446,"广东
潮汕
特产乌榄 黑橄榄油榄早餐下饭菜农家小吃腌制1份2瓶包邮"
0,100,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/4022117517/TB1mfs9H1uSBuNjSsplXXbe8pXa_!!0-item_pic.jpg_180x180.jpg_.webp,广东 汕头,98.00,潮兴记腾海专卖店,"潮兴记正宗手打牛肉丸牛筋丸1000g组合 正宗
潮汕
牛丸火锅丸子食材"
0,863,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/913012987/TB2ExlAoL2H8KJjy0FcXXaDlFXa_!!913012987.jpg_180x180.jpg_.webp,广东 汕头,29.80,潮味食品,"潮盛橄榄菜下饭菜咸菜正宗广东
潮汕
特产杂咸腌制小菜450g3瓶罐装"
0,91,//g.alicdn.com/s.gif,广东 潮州,80.00,潮州创新旺记牛肉丸,"正宗
潮汕
手打牛肉丸牛筋丸 汕头潮州特产火锅食材牛丸肉丸子500g"
0,38,//g.alicdn.com/s.gif,广东 汕头,28.50,百贝网购,"领头牛卤味熟肉酒料下饭菜五香猪小肠 甜粉
潮汕
猪粉肠240g 真空"
0,34,//g.alicdn.com/s.gif,广东 潮州,55.00,玉树玲疯,"广东
潮汕
特产菜脯萝卜干 江东菜脯 潮州杂咸下饭送粥爽脆小菜瓶装"
0,62,//g.alicdn.com/s.gif,广东 汕尾,39.90,fancy57073197,"【一组5包】
潮汕
汕尾海丰特产 福厚桦遮浪马仔 拔丝玛仔沙琪玛"
0,81,//g.alicdn.com/s.gif,广东 深圳,45.00,tb6526791_2013,"潮汕
特产潮州汕头澄海酸菜5斤酸菜鱼的酸菜杂咸下饭菜客家酸咸菜"
0,176,//g.alicdn.com/s.gif,广东 汕头,113.00,琉璃执着,"两斤
潮汕
特产牛肉丸 手工牛丸 潮州汕头牛筋丸 海底捞火锅 包邮"
0,7,//g.alicdn.com/s.gif,广东 汕尾,38.00,鑫记商行123,"潮汕
汕尾本港特产 巴浪鱼干 巴浪脯 自晒 熟吃 干货 包邮500g"
0,34,//g.alicdn.com/s.gif,广东 汕头,166.00,晶华渔匠2016,"潮汕
牛肉丸 汕头潮州正宗手打牛筋丸 墨鱼丸特产手作丸子2斤包邮"
0,250,//g.alicdn.com/s.gif,广东 汕头,32.80,tb95195282,"糖葱薄饼
潮汕
小吃鸭谭糖葱特产手工广东糕特产现做现卖20份600g"
0,420,//g.alicdn.com/s.gif,广东 汕头,14.50,yx林林88888,"一份2瓶 新货
潮汕
特产旭泰冬菜地都冬菜 450g 冬菜 砂锅粥调味"
0,7,//g.alicdn.com/s.gif,广东 东莞,93.80,许记食品商行,"潮汕
咸菜250g*40袋 整箱 广东包邮 汕头咸菜 特产 自制农家批發"
0,24,//g.alicdn.com/s.gif,广东 汕头,29.80,wzx13642226446,"广东
潮汕
特产正宗手工打猪肉丸500g新鲜美食火锅食材店内2斤包邮"
0,56,//g.alicdn.com/s.gif,广东 汕头,19.80,wzx13642226446,"潮汕
特产乌豆饼 朥饼零食茶点酥饼传统糕点利东福馅饼500g包邮"
0,51,//g.alicdn.com/s.gif,广东 汕头,56.90,471708326林闻校,"7月日期
潮汕
特产汕头廷顺咸菜口咸菜
潮汕
咸菜延顺咸菜香脆可口6"
0,51,//g.alicdn.com/s.gif,广东 潮州,33.90,百分之百诚意,"包邮糯米卷
潮汕
特产广章卷煎潮州小吃糯米果豆腐皮卷灌煎汕头美食"
