Column1	deal	image	location	price	shop	title
0	105	//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2470063163/TB275Wpm5MnBKNjSZFCXXX0KFXa_!!2470063163.jpg_180x180.jpg_.webp	广东 深圳	1559	xuzl1n	"全新华硕GTX1060 5G-SI 游戏吃鸡独立
显卡
非3G/6G/1065/1050TI 4G"
0	68	//g-search1.alicdn.com/img/bao/uploaded/i4/i3/2910360077/TB243YateySBuNjy1zdXXXPxFXa_!!2910360077.jpg_180x180.jpg_.webp	四川 成都	618	leihais123	"华硕/蓝宝石/讯景R9 380X 4G吃鸡
显卡
有960 370X 970 390 1060"
0	43	//g-search2.alicdn.com/img/bao/uploaded/i4/i4/3942426866/TB2kkcrJNGYBuNjy0FnXXX5lpXa_!!3942426866.jpg_180x180.jpg_.webp	上海	1999	diy发烧配件店	"七彩虹影驰GTX1070 8G
显卡
华硕猛禽GTX1080技嘉1070TI微星GTX1060"
0	47	//g-search1.alicdn.com/img/bao/uploaded/i4/i1/2877493660/TB1K5JdnDmWBKNjSZFBXXXxUFXa_!!0-item_pic.jpg_180x180.jpg_.webp	广东 广州	718	铭影电脑旗舰店	"铭影GTX960M
显卡
4G独显战狼吃鸡游戏
显卡
台式机电脑
显卡
独立
显卡"
0	78	//g.alicdn.com/s.gif	广东 深圳	1549	smartlu2008	"磐镭GTX1060 6G吃鸡
显卡
台式电脑游戏3D渲染平面设计1066独立
显卡"
0	67	//g.alicdn.com/s.gif	四川 成都	818	leihais123	"迪兰/华硕/蓝宝石R9 390 8G猛禽4K独立
显卡
有RX480 1060 390X 470"
0	189	//g.alicdn.com/s.gif	重庆	338	jenchao127	"华硕 技嘉 索泰 GTX760 2G
显卡
吃鸡另微星1060 960 660 950 970"
0	587	//g.alicdn.com/s.gif	广东 深圳	498	qq78200665	"逆水寒 吃鸡
显卡
高端GTX960 2G台式机独立游戏电脑
显卡
2g游戏独显"
0	438	//g.alicdn.com/s.gif	江苏 苏州	229	1966人收货	"全新盒装GTX750TI吃鸡游戏独显1g台式机电脑
显卡
LOL 守望 逆水寒"
0	58	//g.alicdn.com/s.gif	重庆	3799	创众达数码专营店	"?【顺丰全新】映众GTX1080超级冰龙8G高端电脑游戏
显卡
吃鸡逆水寒"
0	114	//g.alicdn.com/s.gif	江苏 南京	1199	张小样0424	"影驰GTX1060 3G黑将虎将游戏
显卡
正品全新工包现货非6G 1050Ti4G"
0	22	//g.alicdn.com/s.gif	上海	5549	u2_uestc	"索泰/ZOTAC GTX 1080ti AMP Extreme至尊版
显卡
性能怪兽amp1080Ti"
0	41	//g.alicdn.com/s.gif	上海	1549	leadtek旗舰店	"丽台Quadro P620 2GB 专业图形平面设计3D建模渲染剪辑绘图
显卡"
0	48	//g.alicdn.com/s.gif	湖北 武汉	3099	胖虫数码专营店	"耕升1070Ti
显卡
GTX1070TI G魂吃鸡
显卡
配1070TI主机GTX1070TI
显卡"
0	355	//g.alicdn.com/s.gif	广东 广州	1149	慧川数码专营店	"技嘉GTX1050Ti 4G 独立游戏
显卡
独显台式机电脑 大卡/半高刀卡"
0	65	//g.alicdn.com/s.gif	浙江 宁波	3899	asus华硕旗舰店	"华硕猛禽GTX1070TI-A8G全新8g独显电脑台式机游戏吃鸡独立
显卡"
0	111	//g.alicdn.com/s.gif	江苏 南京	2059	影驰电脑硬件旗舰店	"影驰 GeForce GTX1060 6G Gamer独立游戏
显卡
逆水寒吃鸡1066
显卡"
0	66	//g.alicdn.com/s.gif	江苏 南京	3699	影驰电脑硬件旗舰店	"影驰 GeForce GTX1080 GAMER 8G/256Bit/GDDR5X 独立游戏吃鸡
显卡"
0	124	//g.alicdn.com/s.gif	广东 广州	1698	铭影电脑旗舰店	"铭影GTX1060 6G
显卡
吃鸡游戏
显卡
独显台式机电脑
显卡
图形独立
显卡"
0	51	//g.alicdn.com/s.gif	湖北 武汉	2099	好牛数码专营店	"顺丰分期 索泰GTX1060-6G至尊Plus 电脑独立游戏吃鸡
显卡"
0	46	//g.alicdn.com/s.gif	江苏 南京	3799	和瑟数码专营店	"Inno3d/映众GTX1080 8G 冰龙超级版 台式机电脑吃鸡游戏独立
显卡"
0	45	//g.alicdn.com/s.gif	湖北 武汉	2099	索泰旗舰店	"分期免息 顺丰 索泰 GTX1060-6GD5至尊PLUS OC电脑独立游戏
显卡"
0	47	//g.alicdn.com/s.gif	广东 深圳	2999	hasee小影霸电脑	"神舟小影霸魔龙GTX1080 8G台式
显卡
全新电脑游戏独立
显卡
吃鸡
显卡"
